material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total
mp-543040,Ga2Te3(HO2)6,3.7627,0.0305184765217374,-1.5487981514130438,4.498488353486123,3m,R3c,Trigonal,1.244352891995312,1.93168090101169,9.055194693334204,3.731391103333335,10,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.76 eV — transparent at 775nm | ✓ n=1.93 — ideal waveguide confinement | ✓ Piezo=1.24 C/m² — strong χ⁽²⁾ proxy,0.3449,0.1407,1.417,0.3449,0.5587
mp-556605,ZrO2,3.7025,0.0166609475000001,-3.796956807499999,5.984314869866799,mm2,Pca2_1,Orthorhombic,2.717734101066548,2.36528673596529,27.806075926666665,5.594581343333334,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.70 eV — transparent at 775nm | ✓ n=2.37 — ideal waveguide confinement | ✓ Piezo=2.72 C/m² — strong χ⁽²⁾ proxy,0.6808,0.0766,2.475,0.6808,0.584
mp-570598,SrSi7N10,3.882065668655171,0.0154995204166663,-1.3464539554166666,3.3198135176700267,m,Pc,Monoclinic,2.154867312626562,2.0511907062321955,25.67633592333333,4.207383313333333,10,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.88 eV — transparent at 775nm | ✓ n=2.05 — ideal waveguide confinement | ✓ Piezo=2.15 C/m² — strong χ⁽²⁾ proxy,0.5797,0.1175,2.144,0.5797,0.5678
mp-7610,Li2CaSiO4,5.189699999999999,0.0,-3.0303690320833327,2.862344000463935,-42m,I-42m,Tetragonal,1.58752,1.745535832726826,10.3346372,3.046895343333334,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 5.19 eV — transparent at 775nm | △ n=1.75 — weak confinement | ✓ Piezo=1.59 C/m² — strong χ⁽²⁾ proxy,0.4629,0.1906,1.713,0.4629,0.5398
mp-23349,Bi(BO2)3,3.8413,0.0186760219999984,-2.568614331750001,4.963341886072401,2,C2,Monoclinic,1.162282513871693,1.852602088954884,8.651605626666665,3.4321345,10,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.84 eV — transparent at 775nm | ✓ n=1.85 — ideal waveguide confinement | ✓ Piezo=1.16 C/m² — strong χ⁽²⁾ proxy,0.329,0.1594,1.343,0.329,0.5516
mp-3881,BaZnF4,4.5431,0.0,-3.391740702500005,5.175770730999138,mm2,Cmc2_1,Orthorhombic,1.51717,1.5812619496254674,25.15932208,2.500389353333334,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.54 eV — transparent at 775nm | △ n=1.58 — weak confinement | ✓ Piezo=1.52 C/m² — strong χ⁽²⁾ proxy,0.4648,0.2564,1.626,0.4648,0.5158
mp-35555,LaOF,4.747800000000001,0.0611990599999998,-4.195267745000001,6.021367730523262,-43m,F-43m,Cubic,1.303650000000002,1.939753077069349,18.02322731333335,3.762642000000008,10,✓ Noncentro (-43m) — χ⁽²⁾ allowed | ✓ Gap 4.75 eV — transparent at 775nm | ✓ n=1.94 — ideal waveguide confinement | ✓ Piezo=1.30 C/m² — strong χ⁽²⁾ proxy,0.3606,0.1389,1.472,0.3606,0.5594
mp-541462,SrTa4O11,3.5232,0.0,-3.431262843708332,7.781368665691054,622,P6_322,Hexagonal,0.336895,2.29434230590526,45.88019544671028,5.264006616666666,10,✓ Noncentro (622) — χ⁽²⁾ allowed | ✓ Gap 3.52 eV — transparent at 775nm | ✓ n=2.29 — ideal waveguide confinement | △ Piezo=0.34 C/m² — moderate,0.0857,0.0839,0.417,0.0857,0.5811
mp-556966,KSrVO4,3.8457,0.0,-2.7867498592500004,3.5468000253164345,222,P2_12_12_1,Orthorhombic,0.105409999999999,1.8174841154739152,10.816087083333333,3.30324851,10,✓ Noncentro (222) — χ⁽²⁾ allowed | ✓ Gap 3.85 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | △ Piezo=0.11 C/m² — moderate,0.0301,0.1689,0.141,0.0301,0.548
mp-753378,TaGaO4,3.2819,0.0405779220833348,-2.8569991833055552,7.905905200830079,mm2,Pnc2,Orthorhombic,1.73621,2.2720269489305505,25.675411370000003,5.162106456666667,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.28 eV — transparent at 775nm | ✓ n=2.27 — ideal waveguide confinement | ✓ Piezo=1.74 C/m² — strong χ⁽²⁾ proxy,0.4438,0.0864,1.813,0.4438,0.5801
