material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,nelements,nsites,elements,is_noncentro,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,photonic_binary,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total,final_composite
mp-998591,LiSnCl3,4.1012,0.0102853845000008,-1.6876579886666654,3.0437786790171,3m,R3c,Trigonal,3,10,"['Cl', 'Li', 'Sn']",True,1.6536925956477022,1.943302613250614,16.037645423348263,3.776425046666665,10,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 4.10 eV — transparent at 775nm | ✓ n=1.94 — ideal waveguide confinement | ✓ Piezo=1.65 C/m² — strong χ⁽²⁾ proxy,1,0.457,0.1381,1.774,0.457,0.5597,0.4719
mp-3277,BAsO4,4.282,0.0,-2.130445326111111,3.617999562065702,-4,I-4,Tetragonal,3,6,"['As', 'B', 'O']",True,0.621588431807164,1.7496669244935352,5.79938843333377,3.061334346666666,9,✓ Noncentro (-4) — χ⁽²⁾ allowed | ✓ Gap 4.28 eV — transparent at 775nm | △ n=1.75 — weak confinement | △ Piezo=0.62 C/m² — moderate,1,0.181,0.1893,0.778,0.181,0.5403,0.4714
mp-28872,RbBrO3,3.9953,0.0,-1.0529571174999994,3.984692346679838,3m,R3m,Trigonal,3,5,"['Br', 'O', 'Rb']",True,0.619036920096072,1.6468929706166904,6.948557916750322,2.712256456666667,9,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 4.00 eV — transparent at 775nm | △ n=1.65 — weak confinement | △ Piezo=0.62 C/m² — moderate,1,0.1858,0.227,0.775,0.1858,0.5264,0.4713
mp-625136,CsHO,3.4373,0.0,-1.4876819619683914,4.493299881313835,mm2,Cmc2_1,Orthorhombic,3,6,"['Cs', 'H', 'O']",True,0.6106600000000001,1.6762191612872903,45.874886593333336,2.809710676666666,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.44 eV — transparent at 775nm | △ n=1.68 — weak confinement | △ Piezo=0.61 C/m² — moderate,1,0.1817,0.2153,0.766,0.1817,0.5307,0.471
mp-8877,Sr4Al6SO12,3.3427,0.0,-3.3748636851086946,2.9946635773887973,-43m,I-43m,Cubic,4,23,"['Al', 'O', 'S', 'Sr']",True,0.605147036862106,1.6724340056735634,8.96697605999996,2.797035503333321,9,✓ Noncentro (-43m) — χ⁽²⁾ allowed | ✓ Gap 3.34 eV — transparent at 775nm | △ n=1.67 — weak confinement | △ Piezo=0.61 C/m² — moderate,1,0.1803,0.2167,0.76,0.1803,0.5302,0.4708
mp-27211,KSb4F13,4.6737,0.0,-2.75438538623611,4.562629573877379,-4,I-4,Tetragonal,3,18,"['F', 'K', 'Sb']",True,0.6049933116899591,1.6259735247947102,16.998900626666675,2.6437899033333343,9,✓ Noncentro (-4) — χ⁽²⁾ allowed | ✓ Gap 4.67 eV — transparent at 775nm | △ n=1.63 — weak confinement | △ Piezo=0.60 C/m² — moderate,1,0.1828,0.2358,0.758,0.1828,0.5232,0.4707
mp-27367,SeOF2,4.0951,0.0,-1.772729273710938,3.490678413373312,mm2,Pca2_1,Orthorhombic,3,16,"['F', 'O', 'Se']",True,0.600230525881514,1.5631049090405502,4.177309999999999,2.4432969566666665,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.10 eV — transparent at 775nm | △ n=1.56 — weak confinement | △ Piezo=0.60 C/m² — moderate,1,0.185,0.2655,0.75,0.185,0.5126,0.4705
mp-24097,Mg3Si2H4O9,4.2476,0.0,-2.5860022416666677,2.487479477262847,6mm,P6_3cm,Hexagonal,4,36,"['H', 'Mg', 'O', 'Si']",True,0.596479801502113,1.589434327048463,5.483758800060297,2.5263014800000008,9,✓ Noncentro (6mm) — χ⁽²⁾ allowed | ✓ Gap 4.25 eV — transparent at 775nm | △ n=1.59 — weak confinement | △ Piezo=0.60 C/m² — moderate,1,0.1823,0.2525,0.747,0.1823,0.5172,0.4704
mp-42190,K2NaTiOF5,3.964,0.0,-3.3186769149212645,2.8401052794887,4mm,I4mm,Tetragonal,5,10,"['F', 'K', 'Na', 'O', 'Ti']",True,0.5972066645642861,1.5081566518988228,10.136359363333332,2.274536486666667,9,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.96 eV — transparent at 775nm | △ n=1.51 — weak confinement | △ Piezo=0.60 C/m² — moderate,1,0.1874,0.2955,0.741,0.1874,0.5021,0.4702
mp-4533,Na2SiO3,3.863,0.0,-2.6928459171264354,2.667359066054256,mm2,Cmc2_1,Orthorhombic,3,12,"['Na', 'O', 'Si']",True,0.580739503219817,1.5933307085055088,11.273556223333337,2.5387027466666665,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.86 eV — transparent at 775nm | △ n=1.59 — weak confinement | △ Piezo=0.58 C/m² — moderate,1,0.1773,0.2506,0.729,0.1773,0.5179,0.4698
